Festival,Religion/Type,Primary States,Month,Season,Description,Cultural Significance,Regional Variations,Global Recognition
Buddha Purnima,Buddhist,"Bihar, Uttar Pradesh, Maharashtra, Ladakh",May,Summer,"Celebrates birth, enlightenment, and death of Gautama Buddha","Meditation sessions, charitable activities, offerings at Buddhist temples","Elaborate celebrations in Bodh Gaya, Kushinagar, and Sarnath; Tibetan traditions in Ladakh","UNESCO recognition at World Heritage Buddhist sites"
Mahavir Jayanti,Jain,"Gujarat, Rajasthan, Maharashtra, Karnataka",March/April,Spring,"Birth anniversary of Lord Mahavira, 24th Tirthankara of Jainism","Temple ceremonies, processions with Mahavira images, charitable activities emphasizing non-violence","Different rituals between Digambara and Svetambara Jain traditions","Growing international recognition through Jain diaspora activities"
Parsi New Year (Nowruz),Zoroastrian,"Maharashtra, Gujarat",August,Monsoon,"New Year celebration for Parsi community based on Zoroastrian calendar","House cleaning, decorative tables with symbolic items, feasting, temple visits","Mumbai celebrations most prominent, smaller community gatherings in other cities","UNESCO Intangible Cultural Heritage recognition for Nowruz traditions"
Raksha Bandhan,Hindu/Cultural,"All India, especially North India",August,Monsoon,"Celebration of brother-sister bond where sisters tie rakhi (thread) on brothers' wrists","Brothers give gifts and promise protection, celebrating sibling relationships","Variations include Narali Purnima in coastal Maharashtra, Kajari Purnima in central India","Growing international adoption as celebration of sibling bonds"
Karva Chauth,Hindu,"North India",October/November,Autumn,"Fasting ritual observed by married women for the longevity of their husbands","Women fast from sunrise to moonrise, perform special prayers, and receive gifts from husbands","Urban adaptations include couples fasting together, simplified rituals in other regions","Featured in Bollywood films, growing diaspora celebrations"
Chhath Puja,Hindu,"Bihar, Jharkhand, Eastern UP, Nepal",October/November,Autumn,"Four-day festival dedicated to Sun God and Chhathi Maiya (ancient goddess)","Involves standing in water offering prayers to rising and setting sun, strict fasting","Elaborate celebrations along Ganges in Bihar, simplified urban adaptations","Growing recognition with celebrations at artificial water bodies worldwide"
Gudi Padwa/Ugadi,Hindu,"Maharashtra (Gudi Padwa), Karnataka/Andhra/Telangana (Ugadi)",March/April,Spring,"New Year celebration according to lunar calendar","Features house cleaning, decorations, special flag (gudi) installation, neem-jaggery consumption","Maharashtrian gudi installation vs. Telugu/Kannada pachadi (six-flavor dish) traditions","Growing diaspora celebrations maintaining regional distinctions"
Puthandu/Vishu,Hindu,"Tamil Nadu (Puthandu), Kerala (Vishu)",April,Spring,"New Year celebration in Tamil Nadu and Kerala","Vishu features vishukani (auspicious first sight arrangement), Puthandu has kolam drawings and mango leaf decorations","Different food traditions - Tamil Nadu's mangai-pachadi vs. Kerala's vishu kanji","Cultural showcase events in international Tamil/Malayalam communities"
Teej,Hindu,"Rajasthan, Haryana, Punjab, UP",July/August,Monsoon,"Festival celebrating the arrival of monsoon and marriage of Goddess Parvati to Lord Shiva","Women wear green, apply henna, swing on decorated jhoolas (swings), and fast for marital harmony","Hariyali Teej in North India, Kajari Teej in Rajasthan, Hartalika Teej in Western India","Featured in cultural showcases of Indian traditions internationally"
Hornbill Festival,Cultural,"Nagaland",December,Winter,"Modern festival showcasing cultures of 16 major Naga tribes","Features traditional dances, music, sports competitions, crafts, and food festivals","Different tribal villages showcase unique traditions, modern music competitions added","Major international tourism draw branded as 'Festival of Festivals'"
Hemis Festival,Buddhist,"Ladakh",June/July,Summer,"Celebration of birth of Guru Padmasambhava (founder of Tibetan Buddhism)","Masked dances (cham) by monks, unfurling of thangka painting, monastic music","Variations in different monasteries across Ladakh with unique mask designs","Major cultural tourism attraction featured in global Buddhist cultural showcases"
Pushkar Camel Fair,Cultural,"Rajasthan",November,Autumn,"Traditional livestock fair transformed into major cultural festival","Camel trading, races, beauty contests, cultural performances, and religious ceremonies at Pushkar Lake","Evolving to include more tourist-oriented activities while maintaining traditional elements","One of India's most internationally recognized cultural festivals"
Thrissur Pooram,Hindu,"Kerala",April/May,Summer,"Temple festival with spectacular elephant processions and fireworks","Features 30+ decorated elephants, percussion ensembles (panchavadyam), and parasol displays","Different participating temples have unique traditions and competitive display elements","UNESCO consideration for Intangible Cultural Heritage status"
Kumbh Mela,Hindu,"Prayagraj, Haridwar, Ujjain, Nashik",Variable (12-year cycle),Variable,"World's largest religious gathering with rotation between four sacred river sites","Mass bathing in sacred rivers, spiritual discourses, akharas (monastic orders) processions","Different rituals and significance at each of the four locations","UNESCO Intangible Cultural Heritage recognition, world's largest peaceful gathering" 
